iter	Accuracy	Logloss
0	0.7929292929	0.5716612726
1	0.8047138047	0.5083685206
2	0.8114478114	0.4684004937
3	0.8164983165	0.4469559935
4	0.8232323232	0.4237397189
5	0.8198653199	0.4206558647
6	0.8316498316	0.4081461375
7	0.8316498316	0.4080375331
8	0.8501683502	0.3872707029
9	0.8501683502	0.3782995667
10	0.8585858586	0.3642243914
11	0.861952862	0.3533674262
12	0.8602693603	0.3504944423
13	0.867003367	0.345759947
14	0.8686868687	0.3408525113
15	0.8686868687	0.3403667853
16	0.8720538721	0.3376871371
17	0.8771043771	0.3326025367
18	0.8821548822	0.3273876135
19	0.8821548822	0.3254702198
20	0.8888888889	0.3176263885
21	0.8922558923	0.3101431869
22	0.8905723906	0.3073732007
23	0.8922558923	0.3059466247
24	0.8939393939	0.30233947
25	0.898989899	0.2960345095
26	0.9006734007	0.29188166
27	0.904040404	0.2878781333
28	0.9057239057	0.2852859703
29	0.9057239057	0.27419844
30	0.9057239057	0.2718381411
31	0.9141414141	0.2687720475
32	0.9158249158	0.2614484772
33	0.9175084175	0.2579016191
34	0.9208754209	0.2499943235
35	0.9242424242	0.2421659573
36	0.930976431	0.2395922848
37	0.9292929293	0.2367090491
38	0.9276094276	0.2363797671
39	0.9326599327	0.2313889407
40	0.930976431	0.2267350592
41	0.9326599327	0.2254632762
42	0.9343434343	0.2217081577
43	0.936026936	0.216048399
44	0.9393939394	0.2106929099
45	0.9393939394	0.2098524661
46	0.9427609428	0.2087746186
47	0.9478114478	0.2021218393
48	0.9478114478	0.201027537
49	0.9478114478	0.2005163975
50	0.9528619529	0.1950181369
51	0.9511784512	0.1887857745
52	0.9478114478	0.187460734
53	0.9478114478	0.1857778866
54	0.9494949495	0.1845325918
55	0.9494949495	0.1842858603
56	0.9528619529	0.1793197014
57	0.9545454545	0.1774313229
58	0.9511784512	0.1726553587
59	0.9511784512	0.1717377128
60	0.9562289562	0.1684648157
61	0.9545454545	0.1667501235
62	0.9562289562	0.165881653
63	0.9562289562	0.1640826526
64	0.9562289562	0.1637156218
65	0.9612794613	0.1620299552
66	0.9612794613	0.1581854945
67	0.9595959596	0.1554459623
68	0.9595959596	0.1547411806
69	0.9595959596	0.153382971
70	0.9595959596	0.1530047154
71	0.962962963	0.1502912877
72	0.9646464646	0.1484297163
73	0.9646464646	0.1474728683
74	0.968013468	0.1444425549
75	0.968013468	0.1441438441
76	0.968013468	0.143340074
77	0.968013468	0.1418923787
78	0.968013468	0.1412397262
79	0.9696969697	0.1383693412
80	0.9696969697	0.1361310984
81	0.9730639731	0.1329217248
82	0.9730639731	0.1319731511
83	0.9730639731	0.1305836429
84	0.9730639731	0.1300539107
85	0.9713804714	0.126337212
86	0.9730639731	0.1251190402
87	0.9730639731	0.1243794749
88	0.9730639731	0.1235931525
89	0.9730639731	0.1223167532
90	0.9730639731	0.1214191001
91	0.9730639731	0.120763958
92	0.9730639731	0.119328738
93	0.9730639731	0.1179813707
94	0.9730639731	0.1173186126
95	0.9730639731	0.1167056961
96	0.9747474747	0.1139221349
97	0.9730639731	0.11176528
98	0.9730639731	0.1106846899
99	0.9747474747	0.1084663225
100	0.9764309764	0.1064589391
101	0.9764309764	0.1048506421
102	0.9764309764	0.1041965156
103	0.9764309764	0.1035205304
104	0.9764309764	0.1020005923
105	0.9764309764	0.1013690972
106	0.9764309764	0.1007447779
107	0.9781144781	0.0993479924
108	0.9781144781	0.09714741258
109	0.9781144781	0.09650311256
110	0.9814814815	0.09427077462
111	0.9814814815	0.09359148035
112	0.9831649832	0.09238903944
113	0.9814814815	0.09105468635
114	0.9831649832	0.08973252599
115	0.9848484848	0.08916891386
116	0.9848484848	0.08796824495
117	0.9848484848	0.08733484498
118	0.9848484848	0.08686675374
119	0.9848484848	0.08661569468
120	0.9848484848	0.08626937971
121	0.9848484848	0.08564862875
122	0.9848484848	0.08537853243
123	0.9865319865	0.08507271901
124	0.9848484848	0.08453080882
125	0.9848484848	0.08383576672
126	0.9848484848	0.08365890467
127	0.9848484848	0.08300386334
128	0.9848484848	0.08199540773
129	0.9831649832	0.08184057465
130	0.9848484848	0.08068161155
131	0.9848484848	0.07999013133
132	0.9865319865	0.07898883758
133	0.9865319865	0.0784439091
134	0.9865319865	0.07802684748
135	0.9865319865	0.07747773926
136	0.9865319865	0.07713604143
137	0.9865319865	0.07677999143
138	0.9848484848	0.07560021451
139	0.9848484848	0.07457653917
140	0.9848484848	0.07370471298
