iter	Logloss	Accuracy
0	0.6777673586	0.8047138047
1	0.6631976298	0.8013468013
2	0.647351814	0.803030303
3	0.6320678505	0.803030303
4	0.6195342196	0.8047138047
5	0.6080443514	0.803030303
6	0.5974097461	0.803030303
7	0.5873646335	0.803030303
8	0.5766269671	0.803030303
9	0.56904227	0.803030303
10	0.5617800626	0.8013468013
11	0.5537395028	0.803030303
12	0.5460712677	0.803030303
13	0.5386768688	0.8063973064
14	0.5297891122	0.8063973064
15	0.5229337031	0.8063973064
16	0.5158524947	0.8080808081
17	0.5078418873	0.8080808081
18	0.5049945562	0.8114478114
19	0.5005267622	0.8114478114
20	0.4968697391	0.8080808081
21	0.4946079447	0.8114478114
22	0.4901265873	0.8080808081
23	0.488126196	0.8114478114
24	0.4848592739	0.8080808081
25	0.481347646	0.8097643098
26	0.478331081	0.8097643098
27	0.4743549077	0.8114478114
28	0.4714637011	0.8181818182
29	0.469210538	0.8181818182
30	0.4652670401	0.8198653199
31	0.4628059567	0.8198653199
32	0.4616607769	0.8198653199
33	0.4589156334	0.8181818182
34	0.4566948374	0.8198653199
35	0.4551828815	0.8198653199
36	0.4522753372	0.8232323232
37	0.4504415082	0.8265993266
38	0.448967057	0.8249158249
39	0.44770664	0.8265993266
40	0.4458127519	0.8232323232
41	0.4450152876	0.8265993266
42	0.4420846239	0.8215488215
43	0.4412468804	0.8249158249
44	0.4390282936	0.8215488215
45	0.4378529558	0.8232323232
46	0.4360548848	0.8265993266
47	0.433655453	0.8282828283
48	0.4323373917	0.8265993266
49	0.4306277394	0.8265993266
50	0.428491252	0.8265993266
51	0.4274379332	0.8265993266
52	0.426148694	0.8265993266
53	0.4247214064	0.8333333333
54	0.4230880737	0.8316498316
55	0.422250433	0.8333333333
56	0.4218504935	0.8316498316
57	0.420655684	0.8367003367
58	0.4195760605	0.8333333333
59	0.4182831222	0.835016835
60	0.4172129005	0.8333333333
61	0.4161929249	0.8367003367
62	0.4135139799	0.8417508418
63	0.4127332386	0.8400673401
64	0.4124163746	0.8417508418
65	0.4113576613	0.8400673401
66	0.4103838731	0.8400673401
67	0.4100958827	0.8417508418
68	0.4094770541	0.8400673401
69	0.4082249086	0.8434343434
70	0.4071123528	0.8434343434
71	0.4069457648	0.8434343434
72	0.405417985	0.8434343434
73	0.4049583975	0.8434343434
74	0.4039499559	0.8434343434
75	0.4032279634	0.8468013468
76	0.4019016561	0.8468013468
77	0.4012970587	0.8501683502
78	0.4005301119	0.8484848485
79	0.3997988717	0.8468013468
80	0.3988420891	0.8468013468
81	0.3981982401	0.8484848485
82	0.3978400953	0.8518518519
83	0.3971817068	0.8484848485
84	0.396540812	0.8484848485
85	0.3962591152	0.8484848485
86	0.39610532	0.8484848485
87	0.3958829116	0.8484848485
88	0.3945617162	0.8468013468
89	0.3934584595	0.8484848485
90	0.392594771	0.8518518519
91	0.3921408348	0.8535353535
92	0.3910714352	0.8518518519
93	0.3893093533	0.8518518519
94	0.3887860847	0.8518518519
95	0.3880654537	0.8552188552
96	0.3873828926	0.8552188552
97	0.3869339914	0.8569023569
98	0.3864974205	0.8569023569
99	0.3860100383	0.8569023569
100	0.3854419952	0.8569023569
101	0.3848257868	0.8585858586
102	0.3843230174	0.8585858586
103	0.3834722243	0.8585858586
104	0.3830525819	0.8585858586
105	0.3823258628	0.8585858586
106	0.3815586591	0.8602693603
107	0.3797236998	0.8585858586
108	0.3787228876	0.8569023569
109	0.3783170655	0.8585858586
110	0.3780860259	0.8602693603
111	0.3771620471	0.8585858586
112	0.376827407	0.8585858586
113	0.3760212857	0.8585858586
114	0.3752846766	0.861952862
115	0.3749054417	0.8602693603
116	0.3747242629	0.861952862
117	0.3737558949	0.861952862
118	0.3734370016	0.861952862
119	0.3727197101	0.8602693603
120	0.3719811488	0.8602693603
121	0.3715413925	0.8602693603
122	0.3712885693	0.8602693603
123	0.3708894775	0.8602693603
124	0.3707152601	0.8602693603
125	0.3692678843	0.8585858586
126	0.3687463626	0.8569023569
127	0.3681307963	0.8569023569
128	0.3676535353	0.8569023569
129	0.3673609981	0.8569023569
130	0.3665885026	0.8585858586
131	0.3659110021	0.8585858586
132	0.3655162516	0.8585858586
133	0.3643196697	0.8602693603
134	0.3639240971	0.8602693603
135	0.3633704651	0.8602693603
136	0.3630374947	0.8636363636
137	0.3628790756	0.8636363636
138	0.362230089	0.8653198653
139	0.3619741832	0.8653198653
140	0.3613530939	0.8653198653
141	0.3604375409	0.8636363636
142	0.3600647538	0.8636363636
143	0.3595928873	0.8636363636
144	0.3592763573	0.8636363636
145	0.3590066056	0.8636363636
146	0.3587841715	0.861952862
147	0.3577689225	0.8653198653
148	0.3573338672	0.867003367
149	0.356871454	0.8686868687
150	0.3566566493	0.8686868687
151	0.3562109334	0.8703703704
152	0.3551823523	0.8653198653
153	0.3548537746	0.8686868687
154	0.3546664562	0.8703703704
155	0.3543245463	0.8686868687
156	0.3533955327	0.8686868687
157	0.3528625283	0.8703703704
158	0.3526814008	0.8703703704
159	0.3523304487	0.8720538721
160	0.3519156613	0.8720538721
161	0.3515697441	0.8720538721
162	0.3514993327	0.8720538721
163	0.3512314819	0.8720538721
164	0.3506703746	0.8720538721
165	0.3501639832	0.8737373737
166	0.3498076365	0.8737373737
167	0.3485161881	0.8720538721
168	0.3484455199	0.8720538721
169	0.3475584293	0.8720538721
170	0.3472361966	0.8720538721
171	0.3470480562	0.8720538721
172	0.346648502	0.8720538721
173	0.3466061165	0.8720538721
174	0.3464239615	0.8720538721
175	0.3461395418	0.8720538721
176	0.3457092131	0.8720538721
177	0.3453747528	0.8720538721
178	0.3449530296	0.8737373737
179	0.3444433758	0.8720538721
180	0.3436582418	0.8720538721
181	0.3430849326	0.8720538721
182	0.3429629393	0.8720538721
183	0.3426646994	0.8720538721
184	0.3425734806	0.8737373737
185	0.3422678938	0.8737373737
186	0.3420543735	0.8737373737
187	0.3416345513	0.8737373737
188	0.3404453162	0.8771043771
189	0.3397428981	0.8754208754
190	0.3389093418	0.8754208754
191	0.3385343198	0.8771043771
192	0.338215889	0.8771043771
193	0.3377918282	0.8771043771
194	0.3373611913	0.8771043771
195	0.337222886	0.8787878788
196	0.3370913624	0.8787878788
197	0.3367309313	0.8787878788
198	0.3362468373	0.8787878788
199	0.3359258376	0.8787878788
200	0.3352466416	0.8821548822
201	0.3350239506	0.8804713805
