iter	Passed	Remaining
0	88	88839
1	164	82334
2	248	82525
3	329	82097
4	399	79497
5	489	81129
6	572	81224
7	648	80440
8	721	79413
9	790	78293
10	864	77685
11	961	79125
12	1055	80111
13	1140	80293
14	1226	80508
15	1317	80997
16	1398	80858
17	1461	79734
18	1518	78422
19	1613	79068
20	1691	78838
21	1755	78049
22	1846	78453
23	1931	78564
24	2025	78977
25	2107	78953
26	2180	78591
27	2262	78553
28	2352	78778
29	2434	78730
30	2500	78160
31	2584	78166
32	2676	78415
33	2760	78420
34	2837	78229
35	2893	77481
36	2984	77677
37	3083	78072
38	3178	78315
39	3273	78558
40	3373	78900
41	3414	77891
42	3497	77839
43	3578	77757
44	3656	77593
45	3747	77721
46	3822	77511
47	3917	77695
48	4051	78630
49	4150	78857
50	4237	78844
51	4321	78775
52	4425	79065
53	4517	79132
54	4583	78757
55	4654	78469
56	4751	78612
57	4839	78595
58	4911	78328
59	4992	78219
60	5071	78068
61	5150	77925
62	5238	77906
63	5343	78142
64	5453	78452
65	5534	78318
66	5619	78255
67	5710	78269
68	5802	78289
69	5877	78088
70	5951	77870
71	6022	77620
72	6114	77648
73	6195	77526
74	6261	77229
75	6327	76928
76	6405	76785
77	6490	76724
78	6590	76828
79	6666	76668
80	6752	76609
81	6838	76560
82	6935	76623
83	7038	76749
84	7114	76590
85	7189	76414
86	7264	76235
87	7363	76312
88	7449	76248
89	7531	76154
90	7602	75938
91	7679	75793
92	7754	75628
93	7837	75542
94	7923	75485
95	8026	75584
96	8091	75329
97	8176	75258
98	8244	75034
99	8329	74966
100	8400	74768
101	8479	74654
102	8557	74528
103	8647	74503
104	8724	74368
105	8795	74177
106	8854	73900
107	8920	73674
108	9014	73683
109	9106	73679
110	9190	73607
111	9256	73394
112	9364	73505
113	9440	73369
114	9510	73185
115	9590	73086
116	9663	72929
117	9744	72839
118	9817	72685
119	9927	72804
120	10012	72732
121	10099	72684
122	10183	72605
123	10313	72859
124	10422	72958
125	10490	72764
126	10571	72670
127	10674	72717
128	10769	72716
129	10855	72648
130	10926	72484
131	11011	72409
132	11081	72241
133	11159	72120
134	11231	71963
135	11289	71724
136	11364	71588
137	11434	71426
138	11530	71424
139	11611	71325
140	11684	71184
141	11779	71174
142	11850	71019
143	11926	70899
144	12013	70840
145	12103	70797
146	12200	70794
147	12273	70655
148	12343	70496
149	12427	70423
150	12519	70393
151	12592	70255
152	12672	70152
153	12757	70085
154	12838	69991
155	12917	69885
156	12988	69741
157	13065	69627
158	13156	69590
159	13233	69473
160	13314	69382
161	13413	69383
162	13494	69295
163	13563	69139
164	13632	68989
165	13691	68787
166	13777	68720
167	13863	68659
168	13951	68600
169	14020	68451
170	14097	68344
171	14174	68234
172	14251	68128
173	14346	68105
174	14433	68045
175	14546	68102
176	14624	68001
177	14703	67899
178	14780	67792
179	14859	67692
180	14937	67592
181	15023	67521
182	15137	67579
183	15202	67418
184	15302	67414
185	15382	67318
186	15457	67202
187	15540	67122
188	15640	67113
189	15730	67059
190	15820	67009
191	15898	66907
192	15987	66848
193	16060	66724
194	16142	66637
195	16232	66585
196	16320	66524
197	16393	66402
198	16479	66331
199	16558	66235
200	16623	66079
201	16691	65938
202	16788	65912
203	16876	65851
204	16964	65787
205	17035	65662
206	17117	65574
207	17193	65467
208	17268	65357
209	17344	65249
210	17456	65275
211	17536	65183
212	17644	65192
213	17723	65095
214	17794	64970
215	17864	64840
216	17960	64805
217	18050	64751
218	18132	64662
219	18235	64651
220	18330	64611
221	18401	64488
222	18502	64469
223	18593	64411
224	18661	64278
225	18738	64176
226	18822	64094
227	18902	64003
228	18968	63863
229	19069	63840
230	19144	63731
231	19223	63636
232	19304	63548
233	19403	63517
234	19479	63410
235	19566	63342
236	19656	63280
237	19738	63196
238	19826	63129
239	19930	63112
240	19993	62966
241	20064	62846
242	20173	62845
243	20254	62757
244	20347	62703
245	20434	62632
246	20513	62536
247	20597	62457
248	20670	62343
249	20760	62282
250	20867	62270
251	20944	62169
252	21028	62088
253	21105	61987
254	21189	61908
255	21278	61839
256	21369	61780
257	21452	61695
258	21524	61581
259	21607	61498
260	21694	61424
261	21768	61316
262	21865	61272
263	21939	61165
264	22007	61039
265	22099	60980
266	22181	60895
267	22267	60819
268	22365	60778
269	22449	60696
270	22549	60658
271	22644	60606
272	22732	60536
273	22820	60466
274	22910	60399
275	22985	60295
276	23085	60254
277	23164	60160
278	23254	60095
279	23326	59982
280	23415	59913
281	23490	59809
282	23583	59749
283	23677	59692
284	23761	59613
285	23846	59531
286	23914	59410
287	24004	59343
288	24078	59237
289	24173	59183
290	24274	59142
291	24358	59062
292	24449	58995
293	24522	58887
294	24603	58797
295	24668	58670
296	24749	58581
297	24822	58474
298	24926	58439
299	25003	58341
300	25116	58327
301	25193	58228
302	25281	58156
303	25361	58065
304	25451	57995
305	25524	57888
306	25611	57814
307	25710	57766
308	25790	57674
309	25871	57584
310	25967	57529
311	26032	57404
312	26116	57322
313	26178	57193
314	26273	57135
315	26356	57050
316	26435	56956
317	26505	56844
318	26586	56757
319	26660	56654
320	26748	56580
321	26821	56475
322	26903	56389
323	26991	56315
324	27065	56211
325	27147	56127
326	27224	56029
327	27303	55938
328	27419	55921
329	27509	55853
330	27587	55758
331	27663	55660
332	27735	55554
333	27804	55442
334	27886	55356
335	27966	55266
336	28039	55164
337	28134	55103
338	28218	55022
339	28296	54929
340	28383	54852
341	28453	54744
342	28525	54639
343	28600	54539
344	28672	54436
345	28759	54359
346	28856	54303
347	28937	54216
348	29010	54114
349	29093	54030
350	29181	53956
351	29285	53912
352	29368	53828
353	29459	53760
354	29549	53687
355	29625	53593
356	29706	53505
357	29787	53418
358	29858	53313
359	29953	53250
360	30032	53160
361	30113	53073
362	30186	52972
363	30286	52918
364	30380	52853
365	30476	52792
366	30545	52684
367	30628	52601
368	30707	52509
369	30788	52424
370	30897	52384
371	30973	52288
372	31059	52210
373	31141	52124
374	31266	52111
375	31343	52017
