iter	Logloss	Accuracy
0	0.6519270115	0.8143712575
1	0.618126144	0.8083832335
2	0.5875089725	0.8098802395
3	0.5601997147	0.8158682635
4	0.5419039698	0.8128742515
5	0.5219038546	0.8128742515
6	0.5060214654	0.8188622754
7	0.4938736419	0.8188622754
8	0.4816964886	0.8188622754
9	0.4759664478	0.8218562874
10	0.4673031561	0.8218562874
11	0.460490518	0.8218562874
12	0.4556845477	0.8113772455
13	0.4486551799	0.8263473054
14	0.4426761102	0.8218562874
15	0.4371588244	0.8218562874
16	0.4313848347	0.8203592814
17	0.4293291926	0.8233532934
18	0.4235042184	0.8263473054
19	0.4209374525	0.8218562874
20	0.418258804	0.8248502994
21	0.4141419005	0.8248502994
22	0.4124007539	0.8248502994
23	0.4104917149	0.8293413174
24	0.4083543423	0.8278443114
25	0.4068867575	0.8293413174
26	0.4040886885	0.8308383234
27	0.4037080868	0.8308383234
28	0.4003127321	0.8338323353
29	0.3954834167	0.8368263473
30	0.3927573016	0.8413173653
31	0.391561177	0.8428143713
32	0.3901975255	0.8413173653
33	0.3891755978	0.8428143713
34	0.3883843336	0.8413173653
35	0.3863553258	0.8458083832
36	0.3843059882	0.8458083832
37	0.3829811233	0.8488023952
38	0.3815956801	0.8488023952
39	0.3809099026	0.8488023952
40	0.3798502163	0.8502994012
41	0.3792190552	0.8502994012
42	0.3780510725	0.8502994012
43	0.3770566472	0.8502994012
44	0.3757059703	0.8517964072
45	0.3739261741	0.8517964072
46	0.373170727	0.8517964072
47	0.3708483302	0.8502994012
48	0.368863043	0.8517964072
49	0.3653968309	0.8517964072
50	0.3651347817	0.8517964072
51	0.3650247722	0.8517964072
52	0.3639514032	0.8517964072
53	0.3617779395	0.8547904192
54	0.3609238128	0.8547904192
55	0.3602141877	0.8562874251
56	0.3593288125	0.8577844311
57	0.3586964407	0.8577844311
58	0.3570889684	0.8562874251
59	0.356336171	0.8562874251
60	0.3554592932	0.8607784431
61	0.3541892503	0.8607784431
62	0.3539200743	0.8622754491
63	0.3530276179	0.8637724551
64	0.3528109796	0.8637724551
65	0.3526289706	0.8622754491
66	0.3514332571	0.8652694611
67	0.3512655018	0.8652694611
68	0.3510525641	0.8652694611
69	0.350349472	0.8652694611
70	0.3491398246	0.8652694611
71	0.3491221902	0.8652694611
72	0.3481943279	0.8667664671
73	0.3474047312	0.8682634731
74	0.3471978924	0.8667664671
75	0.3466353502	0.8667664671
76	0.3458671798	0.8667664671
77	0.3424629166	0.8667664671
78	0.3416578556	0.8667664671
79	0.3409405326	0.8652694611
