iter	Passed	Remaining
0	82	82741
1	156	77965
2	230	76459
3	353	87986
4	457	91047
5	543	89959
6	631	89635
7	743	92200
8	812	89480
9	890	88126
10	980	88183
11	1068	87946
12	1150	87380
13	1254	88352
14	1312	86211
15	1374	84533
16	1491	86258
17	1553	84749
18	1620	83643
19	1694	83010
20	1787	83341
21	1862	82786
22	1949	82830
23	2014	81919
24	2101	81963
25	2185	81872
26	2271	81857
27	2352	81660
28	2440	81715
29	2521	81519
30	2592	81040
31	2703	81777
32	2784	81588
33	2880	81849
34	2963	81700
35	3080	82491
36	3174	82615
37	3244	82139
38	3313	81639
39	3409	81836
40	3496	81789
41	3591	81921
42	3672	81731
43	3747	81419
44	3825	81190
45	3913	81160
46	4021	81540
47	4115	81625
48	4208	81671
49	4288	81482
50	4384	81592
51	4462	81360
52	4550	81311
53	4642	81325
54	4731	81289
55	4814	81164
56	4903	81120
57	4994	81117
58	5081	81049
59	5175	81085
60	5253	80867
61	5338	80762
62	5412	80497
63	5488	80270
64	5585	80342
65	5663	80148
66	5738	79906
67	5848	80156
68	5939	80136
69	6033	80157
70	6160	80609
71	6264	80747
72	6343	80552
73	6430	80466
74	6537	80634
75	6629	80606
76	6729	80670
77	6815	80567
78	6889	80313
79	6952	79959
80	7029	79753
81	7102	79518
82	7207	79633
83	7315	79777
84	7389	79542
85	7485	79559
86	7569	79438
87	7647	79260
88	7731	79136
89	7811	78987
90	7930	79214
91	8038	79338
92	8125	79247
93	8176	78806
94	8249	78589
95	8330	78447
96	8428	78466
97	8518	78400
98	8614	78404
99	8712	78412
100	8781	78166
101	8873	78120
102	8948	77931
103	9011	77637
104	9056	77196
105	9120	76921
106	9180	76616
107	9239	76314
108	9302	76041
109	9373	75840
110	9434	75563
111	9503	75350
112	9571	75134
113	9647	74976
114	9696	74622
115	9772	74474
116	9845	74302
117	9951	74383
118	10040	74337
119	10132	74307
120	10214	74203
121	10293	74081
122	10380	74013
123	10444	73784
124	10521	73651
125	10583	73413
126	10653	73231
127	10746	73212
128	10820	73056
129	10902	72962
130	11000	72971
131	11086	72905
132	11164	72781
133	11248	72697
134	11319	72526
135	11386	72339
136	11466	72228
137	11550	72148
138	11623	71999
139	11680	71754
140	11736	71502
141	11807	71343
142	11899	71312
143	11976	71192
144	12046	71030
145	12120	70898
146	12194	70758
147	12260	70582
148	12325	70397
149	12386	70191
150	12452	70015
151	12524	69873
152	12580	69644
153	12655	69524
154	12723	69361
155	12797	69239
156	12885	69188
157	12948	69004
158	13042	68986
159	13103	68794
160	13186	68714
161	13275	68672
162	13368	68648
163	13464	68635
164	13557	68611
165	13644	68551
166	13719	68432
167	13789	68288
168	13863	68167
169	13920	67967
170	14009	67917
171	14084	67804
172	14169	67732
173	14254	67666
174	14315	67487
175	14378	67315
176	14447	67174
177	14520	67056
178	14595	66942
179	14686	66904
180	14746	66727
181	14838	66689
182	14895	66500
183	14966	66374
184	15041	66262
185	15106	66112
186	15187	66027
187	15256	65894
188	15330	65782
189	15406	65680
190	15483	65583
191	15560	65483
192	15654	65458
193	15743	65407
194	15801	65231
195	15876	65126
196	15936	64958
197	16018	64883
198	16118	64878
199	16205	64821
200	16308	64827
201	16377	64697
202	16450	64587
203	16513	64434
204	16580	64300
205	16643	64150
206	16714	64032
207	16802	63979
208	16856	63795
209	16931	63695
210	17019	63641
211	17111	63601
212	17181	63483
213	17281	63474
214	17340	63314
215	17415	63213
216	17485	63092
217	17568	63020
218	17656	62966
219	17739	62895
220	17815	62798
221	17902	62738
222	17982	62656
223	18049	62527
224	18117	62405
225	18226	62421
226	18301	62320
227	18378	62227
228	18464	62166
229	18529	62033
230	18603	61930
231	18679	61835
232	18749	61718
233	18828	61636
234	18901	61530
235	18965	61397
236	19022	61241
237	19142	61288
238	19261	61330
239	19330	61212
240	19399	61095
241	19469	60983
242	19556	60922
243	19601	60732
244	19683	60656
245	19768	60590
246	19846	60503
247	19928	60429
248	20005	60336
249	20071	60214
250	20149	60127
251	20220	60020
252	20305	59953
253	20380	59858
254	20458	59769
255	20564	59764
256	20637	59662
257	20716	59579
258	20779	59451
259	20866	59389
260	20936	59278
261	21016	59199
262	21114	59168
263	21207	59125
264	21284	59033
265	21361	58945
266	21430	58834
267	21507	58743
268	21576	58634
269	21646	58525
270	21722	58435
271	21798	58344
272	21879	58264
273	21962	58191
274	22040	58107
275	22112	58006
276	22187	57911
277	22262	57817
278	22359	57781
279	22442	57710
280	22509	57596
281	22601	57545
282	22676	57452
283	22744	57342
284	22809	57224
285	22894	57156
286	22963	57049
287	23054	56995
288	23123	56888
289	23196	56792
290	23268	56693
291	23338	56588
292	23442	56565
293	23532	56509
294	23610	56424
295	23709	56390
296	23795	56324
297	23862	56211
298	23975	56209
299	24056	56132
300	24132	56042
301	24206	55946
302	24303	55905
303	24375	55806
304	24501	55832
305	24586	55761
306	24666	55680
307	24754	55618
308	24828	55522
309	24893	55408
310	24967	55314
311	25047	55233
312	25132	55163
313	25222	55104
314	25305	55029
315	25401	54982
316	25499	54940
317	25578	54857
318	25651	54759
319	25713	54641
320	25805	54584
321	25893	54521
322	26009	54515
323	26078	54410
324	26162	54337
325	26282	54337
326	26347	54225
327	26416	54122
328	26490	54027
329	26558	53921
330	26668	53900
331	26764	53852
332	26859	53799
333	26926	53691
334	27003	53604
335	27075	53506
336	27142	53399
337	27191	53255
338	27256	53147
339	27318	53029
340	27400	52952
341	27457	52828
342	27539	52750
343	27605	52642
344	27672	52536
345	27747	52447
346	27810	52334
347	27906	52285
348	27985	52201
349	28067	52125
350	28145	52041
351	28220	51951
352	28300	51871
353	28373	51778
354	28448	51687
355	28509	51574
356	28584	51484
357	28659	51395
358	28727	51292
359	28816	51229
360	28892	51141
361	28958	51037
362	29034	50950
363	29109	50861
364	29195	50793
365	29271	50705
366	29346	50617
367	29409	50506
368	29524	50488
369	29601	50402
370	29669	50301
371	29715	50165
372	29756	50019
373	29829	49928
374	29912	49854
375	29963	49725
376	30019	49607
377	30102	49534
378	30168	49432
379	30239	49337
380	30320	49261
381	30391	49167
382	30450	49055
383	30533	48980
384	30608	48893
385	30659	48768
386	30723	48665
387	30794	48572
388	30843	48445
389	30937	48390
390	31007	48295
391	31091	48223
392	31158	48124
393	31232	48037
394	31301	47942
395	31376	47857
396	31453	47774
397	31535	47699
398	31606	47608
399	31673	47510
400	31751	47429
401	31851	47381
402	31928	47297
403	32003	47212
404	32068	47113
405	32140	47022
406	32227	46955
407	32301	46868
408	32388	46800
409	32462	46714
410	32548	46645
411	32616	46550
412	32681	46451
413	32791	46414
414	32847	46303
415	32919	46214
416	32983	46114
417	33077	46055
418	33149	45965
419	33228	45887
420	33281	45771
421	33371	45708
422	33444	45621
423	33516	45531
424	33593	45449
425	33674	45373
426	33740	45277
427	33818	45196
428	33886	45102
429	33960	45017
430	34086	45000
431	34159	44912
432	34238	44834
433	34308	44743
434	34378	44651
435	34442	44554
436	34516	44469
437	34608	44405
438	34685	44324
439	34761	44242
440	34834	44154
441	34908	44070
442	34978	43979
443	35061	43906
444	35145	43832
445	35227	43757
446	35289	43658
447	35374	43587
448	35452	43506
449	35526	43421
450	35589	43323
451	35660	43234
452	35725	43139
453	35809	43065
454	35869	42964
455	35939	42875
456	35984	42756
457	36046	42657
458	36120	42573
459	36222	42522
460	36298	42439
461	36377	42361
462	36473	42302
463	36549	42221
464	36586	42094
465	36652	42000
466	36773	41971
467	36849	41888
468	36931	41813
469	37006	41730
470	37076	41642
471	37145	41553
472	37225	41475
473	37293	41385
474	37358	41290
475	37433	41208
476	37497	41113
477	37569	41027
478	37625	40924
479	37680	40820
480	37742	40723
481	37798	40621
482	37885	40552
483	37952	40461
484	38002	40353
485	38088	40282
486	38171	40208
487	38254	40135
488	38328	40052
489	38419	39987
490	38484	39895
491	38560	39814
492	38657	39755
493	38738	39679
494	38821	39605
495	38903	39530
496	38969	39440
497	39048	39362
498	39118	39275
499	39187	39187
500	39264	39108
501	39337	39024
502	39420	38950
503	39495	38868
504	39559	38776
505	39621	38682
506	39695	38599
507	39775	38522
508	39860	38450
509	39931	38365
510	40003	38281
511	40071	38192
512	40150	38115
513	40226	38035
514	40306	37958
515	40369	37865
516	40428	37770
517	40503	37688
518	40599	37626
519	40655	37528
520	40722	37439
521	40792	37353
522	40852	37259
523	40945	37194
524	41008	37103
525	41099	37036
526	41178	36958
527	41258	36882
528	41342	36809
529	41417	36728
530	41511	36664
531	41609	36604
532	41694	36531
533	41779	36459
534	41844	36369
535	41938	36304
536	42045	36251
537	42106	36158
538	42183	36079
539	42255	35995
540	42322	35907
541	42401	35830
542	42471	35744
543	42560	35675
544	42669	35622
545	42738	35537
546	42822	35463
547	42910	35393
548	42975	35304
549	43036	35211
550	43113	35132
551	43221	35078
552	43279	34983
553	43344	34895
554	43415	34810
555	43505	34741
556	43586	34665
557	43664	34586
558	43738	34505
559	43818	34429
560	43936	34381
561	43994	34287
562	44083	34217
563	44156	34135
564	44238	34060
565	44304	33971
566	44366	33881
567	44440	33800
568	44517	33720
569	44587	33635
570	44752	33622
571	44836	33549
572	44933	33484
573	45022	33414
574	45112	33344
575	45181	33258
576	45239	33165
577	45338	33101
578	45430	33033
579	45499	32947
580	45589	32877
581	45657	32791
582	45730	32709
583	45807	32630
584	45887	32552
585	45976	32481
586	46055	32403
587	46142	32331
588	46230	32259
589	46308	32180
590	46379	32096
591	46446	32010
592	46526	31933
593	46605	31854
594	46673	31769
595	46782	31711
596	46847	31623
597	46930	31548
598	47004	31467
599	47064	31376
600	47152	31304
601	47229	31224
602	47308	31146
603	47390	31070
604	47477	30997
605	47542	30910
606	47630	30838
607	47693	30749
608	47777	30675
609	47849	30592
610	47902	30497
611	48007	30436
612	48080	30354
613	48148	30269
614	48210	30180
615	48268	30089
616	48336	30004
617	48409	29922
618	48464	29830
619	48556	29760
620	48651	29692
621	48745	29623
622	48812	29538
623	48874	29449
624	48939	29363
625	49042	29299
626	49136	29230
627	49213	29151
628	49316	29087
629	49391	29007
630	49463	28925
631	49534	28842
632	49581	28746
633	49653	28664
634	49743	28592
635	49810	28508
636	49873	28421
637	49983	28360
638	50055	28278
639	50114	28189
640	50206	28118
641	50290	28043
642	50401	27983
643	50533	27934
644	50613	27856
645	50703	27785
646	50817	27726
647	50912	27656
648	51008	27587
649	51084	27507
650	51149	27421
651	51261	27360
652	51350	27287
653	51436	27212
654	51539	27146
655	51633	27076
656	51725	27004
657	51813	26930
658	51861	26835
659	51952	26763
660	52018	26678
661	52117	26609
662	52188	26527
663	52266	26448
664	52359	26376
665	52446	26301
666	52521	26221
667	52593	26139
668	52675	26062
669	52755	25984
670	52838	25907
671	52909	25825
672	52984	25744
673	53062	25665
674	53146	25589
675	53250	25522
676	53342	25449
677	53398	25360
